id	sprite_name	type	team	unit_type	hp	mp	sight	special	terrain_type	building_type
0	sprite_0000	terrain	-1						ground	
1	sprite_0001	terrain	-1						ground	
2	sprite_0002	terrain	-1						ground	
3	sprite_0003	object	-1						water	
4	sprite_0004	building	-1						water	
5	sprite_0005	building	-1							
6	sprite_0006	building	-1							
7	sprite_0007	building	-1							
8	sprite_0008	building	-1							
9	sprite_0009	building	-1							
10	sprite_0010	building	-1							
11	sprite_0011	building	-1							
12	sprite_0012	building	-1							
13	sprite_0013	building	-1							
14	sprite_0014	building	-1							
15	sprite_0015	building	-1							
16	sprite_0016	building	-1							
17	sprite_0017	building	-1							
18	sprite_0018	terrain								
19	sprite_0019	terrain								
20	sprite_0020	terrain								
21	sprite_0021	terrain								
22	sprite_0022	terrain								
23	sprite_0023	terrain								
24	sprite_0024	terrain								
25	sprite_0025	terrain								
26	sprite_0026	terrain								
27	sprite_0027	terrain								
28	sprite_0028	terrain								
29	sprite_0029	terrain								
30	sprite_0030	terrain								
31	sprite_0031	terrain								
32	sprite_0032	terrain								
33	sprite_0033	terrain								
34	sprite_0034	terrain								
35	sprite_0035	terrain								
36	sprite_0036	terrain								
37	sprite_0037	terrain								
38	sprite_0038	terrain								
39	sprite_0039	terrain								
40	sprite_0040	terrain								
41	sprite_0041	terrain								
42	sprite_0042	terrain								
43	sprite_0043	terrain								
44	sprite_0044	terrain								
45	sprite_0045	terrain								
46	sprite_0046	terrain								
47	sprite_0047	terrain								
48	sprite_0048	terrain								
49	sprite_0049	terrain								
50	sprite_0050	terrain								
51	sprite_0051	terrain								
52	sprite_0052	terrain								
53	sprite_0053	terrain								
54	sprite_0054	terrain								
55	sprite_0055	terrain								
56	sprite_0056	terrain								
57	sprite_0057	terrain								
58	sprite_0058	terrain								
59	sprite_0059	terrain								
60	sprite_0060	terrain								
61	sprite_0061	terrain								
62	sprite_0062	terrain								
63	sprite_0063	terrain								
64	sprite_0064	terrain								
65	sprite_0065	terrain								
66	sprite_0066	terrain								
67	sprite_0067	terrain								
68	sprite_0068	terrain								
69	sprite_0069	terrain								
70	sprite_0070	terrain								
71	sprite_0071	terrain								
72	sprite_0072	terrain								
73	sprite_0073	terrain								
74	sprite_0074	terrain								
75	sprite_0075	terrain								
76	sprite_0076	terrain								
77	sprite_0077	terrain								
78	sprite_0078	terrain								
79	sprite_0079	terrain								
80	sprite_0080	terrain								
81	sprite_0081	terrain								
82	sprite_0082	terrain								
83	sprite_0083	terrain								
84	sprite_0084	terrain								
85	sprite_0085	terrain								
86	sprite_0086	terrain								
87	sprite_0087	terrain								
88	sprite_0088	terrain								
89	sprite_0089	terrain								
90	sprite_0090	terrain								
91	sprite_0091	terrain								
92	sprite_0092	terrain								
93	sprite_0093	terrain								
94	sprite_0094	terrain								
95	sprite_0095	terrain								
96	sprite_0096	terrain								
97	sprite_0097	terrain								
98	sprite_0098	terrain								
99	sprite_0099	terrain								
100	sprite_0100	terrain								
101	sprite_0101	terrain								
102	sprite_0102	terrain								
103	sprite_0103	terrain								
104	sprite_0104	terrain								
105	sprite_0105	terrain								
106	sprite_0106	terrain								
107	sprite_0107	terrain								
108	sprite_0108	terrain								
109	sprite_0109	terrain								
110	sprite_0110	terrain								
111	sprite_0111	terrain								
112	sprite_0112	terrain								
113	sprite_0113	terrain								
114	sprite_0114	terrain								
115	sprite_0115	terrain								
116	sprite_0116	terrain								
117	sprite_0117	terrain								
118	sprite_0118	terrain								
119	sprite_0119	terrain								
120	sprite_0120	terrain								
121	sprite_0121	terrain								
122	sprite_0122	terrain								
123	sprite_0123	terrain								
124	sprite_0124	terrain								
125	sprite_0125	terrain								
126	sprite_0126	terrain								
127	sprite_0127	terrain								
128	sprite_0128	terrain								
129	sprite_0129	terrain								
130	sprite_0130	terrain								
131	sprite_0131	terrain								
132	sprite_0132	terrain								
133	sprite_0133	terrain								
134	sprite_0134	terrain								
135	sprite_0135	terrain								
136	sprite_0136	terrain								
137	sprite_0137	terrain								
138	sprite_0138	terrain								
139	sprite_0139	terrain								
140	sprite_0140	terrain								
141	sprite_0141	terrain								
142	sprite_0142	terrain								
143	sprite_0143	terrain								
144	sprite_0144	terrain								
145	sprite_0145	terrain								
146	sprite_0146	terrain								
147	sprite_0147	terrain								
148	sprite_0148	terrain								
149	sprite_0149	terrain								
150	sprite_0150	terrain								
151	sprite_0151	terrain								
152	sprite_0152	terrain								
153	sprite_0153	terrain								
154	sprite_0154	terrain								
155	sprite_0155	terrain								
156	sprite_0156	terrain								
157	sprite_0157	terrain								
158	sprite_0158	terrain								
159	sprite_0159	terrain								
160	sprite_0160	terrain								
161	sprite_0161	terrain								
162	sprite_0162	terrain								
163	sprite_0163	terrain								
164	sprite_0164	terrain								
165	sprite_0165	terrain								
166	sprite_0166	terrain								
167	sprite_0167	terrain								
168	sprite_0168	terrain								
169	sprite_0169	terrain								
170	sprite_0170	terrain								
171	sprite_0171	terrain								
172	sprite_0172	terrain								
173	sprite_0173	terrain								
174	sprite_0174	terrain								
175	sprite_0175	terrain								
176	sprite_0176	terrain								
177	sprite_0177	terrain								
178	sprite_0178	terrain								
179	sprite_0179	terrain								
180	sprite_0180	terrain								
181	sprite_0181	terrain								
182	sprite_0182	terrain								
183	sprite_0183	terrain								
184	sprite_0184	terrain								
185	sprite_0185	terrain								
186	sprite_0186	terrain								
187	sprite_0187	terrain								
188	sprite_0188	terrain								
189	sprite_0189	terrain								
190	sprite_0190	terrain								
191	sprite_0191	terrain								
192	sprite_0192	terrain								
193	sprite_0193	terrain								
194	sprite_0194	terrain								
195	sprite_0195	terrain								
196	sprite_0196	terrain								
197	sprite_0197	terrain								
